script_order,repository_path,source_file,role,canonical_status,sha256
1,scripts/01_envirem_generation.R,Envirem_creating.R,Generate ENVIREM predictors,preprocessing,1e3813a590ea2d86a71786813f25b52d4a304df01fabb8efb4ff45c94b8ac35b
2,scripts/02_occurrence_preparation.R,Thinning_occurrences.R,Clean and thin occurrence records,preprocessing,922364f29161890c66250d2f3806be97f1ecf3d7e99d51f83d7e0e842530bb1c
3,scripts/03_vera_19.R,VERA_Sitta_krueperi_Tutorial_19.R,Run the 19-predictor tutorial,profile-specific canonical,8a0f82b6cca2fc36c80b0b8e85115b52f0853ba1ec953282cd7c853444a6ac03
4,scripts/04_vera_19_36.R,VERA_Sitta_krueperi_Tutorial_19_and_36.R,Run independent 19- and 36-predictor tutorials,primary tutorial canonical,cf121e897c01600eb10dd0097a88afca0d8990e536d3b6cf8214162e9761c7a7
5,scripts/05_render_core_outputs.R,VERA_Core_Master_Renderer_Plum_Sitta_krueperi.R,Render core VERA outputs,renderer,91a8e1a06539283bfc4868ed0bb20736422663a45834c01528a096a4ed879d3c
6,scripts/06_render_addons.R,VERA_Addon_Master_Renderer_Plum_Sitta_krueperi.R,Render add-on outputs,renderer,a801ecd5bad48b2c9cbc7a7e99726e962ae1230dde7e106a326b4685f66d3fc3
7,scripts/07_vera_species_interpreter.R,VERA Species Interpreter v1.1,Generate evidence-bound profile summaries and paired sensitivity products,post-analysis interpreter,451146014b393cec7860961e7998c1d0f8775466605cf4076bac1c9ff4ec3e77
8,scripts/08_render_mahalanobis_tiers.R,Figure_4_Mahalanobis_Tier_Calibration_PLUM_2.R,Render optional Mahalanobis occurrence and tier-calibration figures,optional renderer,b61599e37bf980e536e8ab3121ac682b325b5bdc6b57a5b4996b6098d7cfbcaf
9,scripts/09_render_response_curve_panels.R,Repoya konulacak response curve kodlari.R,Render optional response-curve panels and anchor annotations,optional renderer,df4ec3c86637521d9c98e6dde8390cc81b43d5000295fbbae05d525297085a75
10,scripts/10_render_top10_response_summaries.R,VERA_Top10 response summary scripts,Render optional Top-10 density and aligned-optimum galleries,optional renderer,0bd26523ecd41d1e44ed0d56d3396b74304e9db55f68ef2522d6eee473e5d1d8
